source,target
4,23
4,32
4,38
4,40
4,43
6,23
6,32
6,33
6,38
12,32
13,23
13,32
13,38
13,40
13,43
14,23
14,32
14,33
14,35
14,38
22,32
23,33
24,62
26,62
29,34
29,36
29,41
29,43
29,44
29,53
29,54
29,58
29,66
31,39
31,40
31,42
31,46
31,49
31,65
33,50
33,51
33,52
33,63
33,69
34,54
34,57
34,75
35,47
35,48
35,65
35,67
35,68
35,73
36,76
39,49
39,55
39,59
40,60
41,45
41,74
41,75
42,73
43,60
43,66
44,74
44,75
45,72
45,76
47,64
47,70
49,55
49,58
49,71
49,73
